,,,,,,,,,,,,,,
Disclaimers
• This is an analytics report and currently we support downloading top 8000 listings by sold quantity.
• This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.
• Any fees charged or credits applied to these listings outside this time range are not included in this report.
"• For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item."

"Report for Jan 1, 2022 to Dec 31, 2022"
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Ads Standard fees,Ads Advanced fees,Ads Express fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers,
Ridge Racer 7 (Sony PlayStation 3) PS3 CIB Complete Tested Game w/ Manual,394099342027,-,-,1,$28.49,$22.00,$0.00,$1.99,$4.50,$8.74,$0.00,$0.00,$3.98,$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.76,$17.76,$28.49,1,0,0
"Yu-Gi-Oh The Falsebound Kingdom (Nintendo GameCube, 2003) NO MANUAL TESTED",394099348194,-,-,1,$24.70,$20.00,$0.00,$0.00,$4.70,$6.97,$0.00,$0.00,$3.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.48,$17.73,$24.70,0,0,0
Vintage Voltron Blazing Sword Original 30 Inches,394116155349,-,-,1,$53.52,$40.00,$0.00,$3.62,$9.90,$22.37,$0.00,$0.00,$7.20,$2.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.49,$27.53,$53.52,1,0,1
1998 GODZILLA FULL BODY HAND PUPPET PLUSH EQUITY TOYS TOHO CO Sound Still Works.,394116161702,-,-,1,$43.23,$30.00,$0.00,$2.33,$10.90,$13.46,$0.00,$0.00,$5.88,$1.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.11,$27.44,$43.23,1,0,0
Nintendo Wii White Console Bundle RVL-001 NTSC-US Complete 4 Remotes TESTED,394119988547,-,-,1,$91.94,$74.99,$0.00,$4.50,$12.45,$22.98,$0.00,$0.00,$12.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.82,$64.46,$91.94,0,0,0
"Yugioh Manga Lot Duelist, GX, Zexal, A Few Others, No Promo Cards, Ex Library.",394169787678,-,-,1,$99.77,$80.00,$0.00,$5.96,$13.81,$17.16,$0.00,$0.00,$13.17,$3.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$76.65,$99.77,1,0,0
Canon Sure Shot 80 Tele 35mm Film Camera Point and Shoot 38mm f/3.7 80mm TESTED!,394169815658,-,-,1,$73.27,$60.00,$0.00,$5.97,$7.30,$17.30,$0.00,$0.00,$9.75,$1.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.72,$50.00,$73.27,1,0,0
Pentax Zoom 90-WR Point and Shoot Water Resistant Camera 35mm ( Tested ),394169819867,-,-,1,$41.69,$25.00,$0.00,$1.94,$14.75,$17.30,$0.00,$0.00,$5.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.62,$22.45,$41.69,0,0,0
Canon Sure Shot 60 Zoom SAF 35mm Point & Shoot Film Camera Film Tested With Case,394179434491,-,-,1,$63.62,$45.00,$0.00,$3.87,$14.75,$19.58,$0.00,$0.00,$8.51,$1.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.16,$40.17,$63.62,1,0,0
Vintage Mens Marithe Francois Girbaud Jeans Sz 40m Red Shuttle Straps Adjustable,394196310395,-,-,1,$58.70,$45.00,$0.00,$0.00,$13.70,$21.71,$0.00,$0.00,$7.87,$2.94,$0.00,$0.00,$0.97,$0.00,$0.00,$0.00,$9.93,$36.99,$58.70,1,1,0
Bandai Power Rangers Dino Charge Revolver and  Deluxe Saber Morpher Tested,394200799593,-,-,1,$49.90,$40.00,$0.00,$0.00,$9.90,$17.24,$0.00,$0.00,$6.74,$2.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.20,$32.66,$49.90,1,1,0
Original Thor Funko Pop #12 Loose OOB Rare Vaulted 2012 Ship Fast,394200800370,-,-,1,$12.80,$12.00,$0.00,$0.80,$0.00,$6.44,$0.00,$0.00,$1.95,$0.51,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.98,$5.56,$12.80,1,0,1
Harmonix FENDER STRATOCASTER Wired Guitar Hero Xbox 360 Rock Band TESTED 822152,394201517756,-,-,1,$68.96,$35.00,$0.00,$5.26,$28.70,$35.74,$0.00,$0.00,$9.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$26.54,$27.96,$68.96,0,1,0
Wii Nintendo Guitar Hero Gibson Les Paul Controller Tested With Strap,394201532345,-,-,1,$49.06,$34.99,$0.00,$3.37,$10.70,$15.61,$0.00,$0.00,$6.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.98,$30.08,$49.06,0,0,0
Vintage Seiko Quartz Brass Rectangular Clock Westminster-Whittington Chime Works,394211914998,-,-,1,$66.77,$62.99,$0.00,$3.78,$0.00,$25.83,$0.00,$0.00,$8.91,$2.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$14.25,$37.16,$66.77,1,0,0
"Metal Slug Anthology (Nintendo Wii, 2006) SNK - 10th Anniversary - No Manual",394213731768,-,-,1,$21.33,$15.00,$0.00,$1.63,$4.70,$7.17,$0.00,$0.00,$3.05,$0.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.48,$12.53,$21.33,1,1,0
Guitar Hero 5 2009 Activision Nintendo Wii Complete With Manual Tested,394213736647,-,-,1,$22.94,$16.99,$0.00,$1.30,$4.65,$7.37,$0.00,$0.00,$3.26,$0.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.42,$14.27,$22.94,1,0,0
Need for Speed Underground 2 Sony PlayStation 2 PS2 CIB Complete Black Label,394213741187,-,-,1,$21.40,$15.00,$0.00,$1.70,$4.70,$7.57,$0.00,$0.00,$3.06,$0.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.87,$12.13,$21.40,1,0,0
KellyToy Wario Plush 2005 Nintendo Mario Vintage 18”,394213780227,-,-,1,$48.21,$35.00,$0.00,$2.51,$10.70,$16.46,$0.00,$0.00,$6.52,$1.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.49,$29.24,$48.21,1,0,0
Converse The Joker DC Comics All Star Chuck Taylor Men's 7 Woman's 9 (141261C),394244723158,-,-,1,$40.20,$30.00,$0.00,$0.00,$10.20,$17.95,$0.00,$0.00,$5.49,$4.02,$0.00,$0.00,$0.66,$0.00,$0.00,$0.00,$7.78,$22.25,$40.20,1,0,0
Sony Cyber-shot DSC-P93A 5.1MP Digital Camera Smart Zoom Mpeg Movie VX Silver,394247765663,-,-,1,$31.05,$22.00,$0.00,$2.20,$6.85,$11.06,$0.00,$0.00,$4.31,$2.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.55,$17.79,$31.05,1,0,0
Assassin's Creed Flag Hidden Blade Edward Kenway Pirate Cosplay Kid Toy,394253369481,-,-,1,$26.61,$20.00,$0.00,$1.51,$5.10,$8.82,$0.00,$0.00,$3.73,$1.33,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.76,$16.28,$26.61,1,0,1
"Final Fantasy XIII-2 13-2 (Microsoft Xbox 360, 2012) Video Game Complete",394256411858,-,-,1,$20.62,$18.99,$0.00,$1.63,$0.00,$7.90,$0.00,$0.00,$2.96,$0.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.12,$11.09,$20.62,1,0,0
"The Orange Box Half Life 2 (Xbox 360, 2007) No Manual Tested Works",394256419746,-,-,1,$21.82,$15.00,$0.00,$1.62,$5.20,$7.62,$0.00,$0.00,$3.11,$1.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.42,$12.58,$21.82,1,0,0
STAR WARS the Rise and the Fall of Darth Vader 2007 hc in case FIRST EDITION 1st,394256432284,-,-,1,$15.90,$15.00,$0.00,$0.90,$0.00,$7.05,$0.00,$0.00,$2.62,$0.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.49,$7.95,$15.90,1,1,0
Nintendo 2DS Crystal Blue Console for 3DS For Parts or Repair Only Please Read,394258954556,-,-,1,$51.99,$36.00,$0.00,$4.24,$11.75,$15.83,$0.00,$0.00,$7.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.82,$31.92,$51.99,0,1,0
Legion The Legend of Excalibur CIB Playstation Two  PS2 RPG Tested ALL NEAR MINT,394258966504,-,-,1,$16.88,$10.00,$0.00,$0.78,$6.10,$7.03,$0.00,$0.00,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.55,$9.07,$16.88,0,0,0
OEM Original Xbox Green Controller Wired S-Type w/Breakaway Tested Ships Fast,394258994626,-,-,1,$36.61,$23.00,$0.00,$2.01,$11.60,$13.13,$0.00,$0.00,$5.02,$1.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.28,$21.47,$36.61,1,0,0
"Konami Classics: Vol. 1 (Microsoft Xbox 360, 2009) CIB Complete in Box - Tested",394276478475,-,-,1,$31.80,$27.00,$0.00,$0.00,$4.80,$10.13,$0.00,$0.00,$4.40,$1.59,$0.00,$0.00,$0.52,$0.00,$0.00,$0.00,$3.62,$21.67,$31.80,1,0,1
"Mortal Kombat - Komplete Edition (Xbox 360, 2012) Platinum Hits No Manual TESTED",394276486245,-,-,1,$15.98,$10.00,$0.00,$1.08,$4.90,$6.80,$0.00,$0.00,$2.36,$0.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.64,$8.10,$15.98,1,0,1
Xbox 360 Rock Band Guitar Hero Drum No Sticks Foot Pedal Kick 822149 Wired USB,394280799917,-,-,1,$84.68,$60.00,$0.00,$5.91,$18.77,$34.22,$0.00,$0.00,$11.22,$4.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.77,$44.55,$84.68,1,0,0
Art Pro Audio DJ PRE II Phono Preamplifier Turntable Interface Preamp Open Box,394283862483,-,-,1,$42.61,$30.00,$0.00,$2.41,$10.20,$13.78,$0.00,$0.00,$5.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.98,$26.42,$42.61,0,0,0
"Sonic Adventure 2 Battle GameCube, 2002 Black Label Case & Disk Only No Manual",394283872684,-,-,1,$43.55,$35.00,$0.00,$3.60,$4.95,$11.77,$0.00,$0.00,$5.92,$2.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.67,$28.18,$43.55,1,0,0
Ben 10 OMNI KIX ARMOR HEATBLAST Black Friday Sale New Mint On Card,394293673517,-,-,1,$26.71,$12.99,$0.00,$1.12,$12.60,$12.03,$0.00,$0.00,$3.75,$1.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.68,$13.56,$26.71,1,0,0
PS2 Crash Twinsanity  Complete Tested,394294258536,-,-,1,$24.45,$12.00,$0.00,$1.60,$10.85,$11.41,$0.00,$0.00,$3.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.96,$11.44,$24.45,0,0,0
"Final Fantasy VII (PlayStation 1, 1997) FF7 PS1 Disc Only 1 and 2 Tested Works",394301299593,-,-,1,$17.08,$11.00,$0.00,$0.58,$5.50,$6.56,$0.00,$0.00,$2.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.06,$9.94,$17.08,0,0,0
Official Nintendo GameCube Memory Card 251 Blocks (DOL-014) Genuine OEM Tested,394301328471,-,-,1,$20.74,$14.00,$0.00,$1.84,$4.90,$6.62,$0.00,$0.00,$2.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.64,$12.28,$20.74,0,0,0
SpongeBob SquarePants The Movie The Video Game Gameboy Advance Tested Authentic,394301334458,-,-,1,$15.94,$10.00,$0.00,$0.99,$4.95,$6.83,$0.00,$0.00,$2.36,$0.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.67,$8.12,$15.94,1,0,0
2014 Power A Hard Shell Clear Case For Nintendo 3DS XL New In Box Fast Shipping,394301340559,-,-,1,$16.23,$10.00,$0.00,$0.83,$5.40,$6.51,$0.00,$0.00,$2.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.12,$8.89,$16.23,0,0,0
Dave Mirra Freestyle BMX - PlayStation 1 PS1 (Complete W/ Manual) TESTED CIB,394301347543,-,-,1,$14.39,$8.00,$0.00,$0.79,$5.60,$6.85,$0.00,$0.00,$2.16,$0.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.26,$6.75,$14.39,1,0,0
"Yu-Gi-Oh Forbidden Memories (Sony PlayStation 1, 2001) PS1 CASE ONLY",394308155910,-,-,1,$14.91,$7.99,$0.00,$0.82,$6.10,$7.22,$0.00,$0.00,$2.22,$0.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.55,$6.87,$14.91,1,1,0
"Wrath Unleashed Tested Working Complete CIB!  (Microsoft Xbox, 2004)",394308167609,-,-,1,$18.08,$12.00,$0.00,$1.18,$4.90,$7.54,$0.00,$0.00,$2.63,$1.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.64,$9.36,$18.08,1,0,1
Need for Speed Carbon Nintendo GameCube 2006 Loose Disc Only Tested Works,394308174338,-,-,1,$16.62,$10.00,$0.00,$1.32,$5.30,$6.32,$0.00,$0.00,$2.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.88,$8.98,$16.62,0,1,0
